name,cpu_mark,price,link,t_class,clockspeed,turbospeed,cores,r_date,p_value
AMD Ryzen Threadripper PRO 3995WX,"88,673",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3995WX&id=3837,Desktop,2.7 GHz,4.2 GHz,Cores: 64 Threads: 128 ,Q2 2020,NA
AMD Ryzen Threadripper 3990X,"80,340","$3,799.79",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3990X&id=3674,Desktop,2.9 GHz,4.3 GHz,Cores: 64 Threads: 128 ,Q1 2020,21.14
AMD Ryzen Threadripper PRO 3975WX,"65,123",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3975WX&id=3851,Desktop,3.5 GHz,4.2 GHz,Cores: 32 Threads: 64 ,Q4 2020,NA
AMD Ryzen Threadripper 3970X,"64,362","$1,998.99",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3970X&id=3623,Desktop,3.7 GHz,4.5 GHz,Cores: 32 Threads: 64 ,Q4 2019,32.20
AMD Ryzen Threadripper 3960X,"55,512","$1,349.98",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3960X&id=3617,Desktop,3.8 GHz,4.5 GHz,Cores: 24 Threads: 48 ,Q4 2019,41.12
AMD Ryzen Threadripper PRO 3955WX,"42,152",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3955WX&id=3846,Desktop,3.9 GHz,4.3 GHz,Cores: 16 Threads: 32 ,Q2 2020,NA
AMD Ryzen 9 3950X,"39,277",$709.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3950X&id=3598,Desktop,3.5 GHz,4.7 GHz,Cores: 16 Threads: 32 ,Q4 2019,55.32
AMD Ryzen Threadripper PRO 3945WX,"34,884",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3945WX&id=3845,Desktop,4.0 GHz,4.3 GHz,Cores: 12 Threads: 24 ,Q2 2020,NA
Intel Core i9-10980XE @ 3.00GHz,"34,138","$1,019.00",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10980XE+%40+3.00GHz&id=3630,Desktop,3.0 GHz,4.8 GHz,Cores: 18 Threads: 36 ,Q4 2019,33.50
AMD Ryzen 9 3900XT,"33,185",$454.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900XT&id=3778,Desktop,3.8 GHz,4.7 GHz,Cores: 12 Threads: 24 ,Q2 2020,72.93
AMD Ryzen 9 3900X,"32,865",$439.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900X&id=3493,Desktop,3.8 GHz,4.6 GHz,Cores: 12 Threads: 24 ,Q2 2019,74.70
AMD Ryzen Threadripper 2990WX,"32,108","$1,449.99",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2990WX&id=3309,Desktop,3.0 GHz,4.2 GHz,Cores: 32 Threads: 64 ,Q2 2018,22.14
Intel Core i9-9990XE @ 4.00GHz,"31,941",NA,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9990XE+%40+4.00GHz&id=3770,Desktop,4.0 GHz,5.0 GHz,Cores: 14 Threads: 28 ,Q2 2020,NA
Intel Xeon W-3175X @ 3.10GHz,"31,814","$3,098.97",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3175X+%40+3.10GHz&id=3420,Desktop,3.1 GHz,3.8 GHz,Cores: 28 Threads: 56 ,Q1 2019,10.27
AMD Ryzen 9 PRO 3900,"31,800",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+PRO+3900&id=3563,Desktop,3.1 GHz,4.3 GHz,Cores: 12 Threads: 24 ,Q2 2019,NA
Intel Core i9-9980XE @ 3.00GHz,"31,556","$1,249.99",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9980XE+%40+3.00GHz&id=3373,Desktop,3.0 GHz,4.5 GHz,Cores: 18 Threads: 36 ,Q4 2018,25.25
AMD Ryzen 9 3900,"30,928",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900&id=3575,Desktop,3.1 GHz,4.3 GHz,Cores: 12 Threads: 24 ,Q4 2019,NA
AMD Ryzen Threadripper 2950X,"30,792",$589.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2950X&id=3316,Desktop,3.5 GHz,4.4 GHz,Cores: 16 Threads: 32 ,Q2 2018,52.19
Intel Core i9-9960X @ 3.10GHz,"30,663","$1,699.99",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9960X+%40+3.10GHz&id=3405,Desktop,3.1 GHz,4.4 GHz,Cores: 16 Threads: 32 ,Q1 2019,18.04
Intel Core i9-10940X @ 3.30GHz,"29,797",$829.90*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10940X+%40+3.30GHz&id=3639,Desktop,3.3 GHz,4.8 GHz,Cores: 14 Threads: 28 ,Q4 2019,35.90
Intel Core i9-9940X @ 3.30GHz,"28,208",$772.88*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9940X+%40+3.30GHz&id=3358,Desktop,3.3 GHz,4.5 GHz,Cores: 14 Threads: 28 ,Q4 2018,36.50
AMD Ryzen Threadripper 2970WX,"28,071","$1,156.40",https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2970WX&id=3345,Desktop,3.0 GHz,4.2 GHz,Cores: 24 Threads: 48 ,Q4 2018,24.27
Intel Core i9-10920X @ 3.50GHz,"26,369",$679.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10920X+%40+3.50GHz&id=3632,Desktop,3.5 GHz,4.8 GHz,Cores: 12 Threads: 24 ,Q4 2019,38.83
AMD Ryzen Threadripper 2920X,"25,650",$709.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2920X&id=3354,Desktop,3.5 GHz,4.3 GHz,Cores: 12 Threads: 24 ,Q4 2018,36.13
Intel Core i9-9920X @ 3.50GHz,"25,344",$642.16,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9920X+%40+3.50GHz&id=3378,Desktop,3.5 GHz,4.5 GHz,Cores: 12 Threads: 24 ,Q4 2018,39.47
Intel Core i9-10900K @ 3.70GHz,"24,261",$549.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900K+%40+3.70GHz&id=3730,Intel UHD Graphics 630,FCLGA1200,3.7 GHz,Turbo Speed: 5.3 GHz,Q2 2020,44.11
AMD Ryzen 7 3800XT,"24,216",$379.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3800XT&id=3797,Desktop,3.9 GHz,4.7 GHz,Cores: 8 Threads: 16 ,Q2 2020,63.89
Intel Core i9-10900KF @ 3.70GHz,"23,630",$619.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900KF+%40+3.70GHz&id=3754,Desktop,3.7 GHz,5.3 GHz,Cores: 10 Threads: 20 ,Q2 2020,38.11
AMD Ryzen 7 3800X,"23,346",$339.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3800X&id=3499,Desktop,3.9 GHz,4.5 GHz,Cores: 8 Threads: 16 ,Q2 2019,68.67
Intel Core i9-10850K @ 3.60GHz,"23,094",$479.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10850K+%40+3.60GHz&id=3824,Intel UHD Graphics 630,FCLGA1200,3.6 GHz,Turbo Speed: 5.1 GHz,Q2 2020,48.11
Intel Core i9-10900X @ 3.70GHz,"22,919",$589.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900X+%40+3.70GHz&id=3633,Desktop,3.7 GHz,4.7 GHz,Cores: 10 Threads: 20 ,Q4 2019,38.91
Intel Xeon W-2255 @ 3.70GHz,"22,841",$778.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-2255+%40+3.70GHz&id=3689,FCLGA2066,4.7 GHz,10 Threads,Typical TDP: 165  W,Q1 2020,29.36
AMD Ryzen 5 5600X,"22,824",$299.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600X&id=3859,Desktop,3.7 GHz,4.6 GHz,Cores: 6 Threads: 12 ,Q4 2020,76.34
AMD Ryzen 7 3700X,"22,815",$309.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3700X&id=3485,Desktop,3.6 GHz,4.4 GHz,Cores: 8 Threads: 16 ,Q2 2019,73.60
Intel Core i9-10910 @ 3.60GHz,"22,237",NA,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10910+%40+3.60GHz&id=3832,Intel UHD Graphics 630,FCLGA1200,3.6 GHz,Turbo Speed: 5.0 GHz,Q2 2020,NA
Intel Core i9-9900X @ 3.50GHz,"21,908",$601.73,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900X+%40+3.50GHz&id=3376,Desktop,3.5 GHz,4.5 GHz,Cores: 10 Threads: 20 ,Q4 2018,36.41
AMD Ryzen 7 PRO 3700,"21,755",$279.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+3700&id=3564,Desktop,3.6 GHz,4.4 GHz,Cores: 8 Threads: 16 ,Q2 2019,77.70
AMD Ryzen 7 4700G,"21,667",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+4700G&id=3836,with Radeon Graphics,AM4,3.6 GHz,Turbo Speed: 4.4 GHz,Q2 2020,NA
Intel Core i9-10900 @ 2.80GHz,"21,380",$469.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900+%40+2.80GHz&id=3745,Intel UHD Graphics 630,FCLGA1200,2.8 GHz,Turbo Speed: 5.2 GHz,Q2 2020,45.59
Intel Core i9-10900F @ 2.80GHz,"21,325",$483.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900F+%40+2.80GHz&id=3798,Desktop,2.8 GHz,5.2 GHz,Cores: 10 Threads: 20 ,Q2 2020,44.06
AMD Ryzen 7 PRO 4750G,"21,160",$289.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+4750G&id=3789,with Radeon Graphics,AM4,3.6 GHz,Turbo Speed: 4.4 GHz,Q2 2020,73.22
AMD Ryzen Threadripper 2990X,"20,885",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2990X&id=3332,Desktop,3.4 GHz,4.2 GHz,Cores: 32 Threads: 64 ,Q4 2018,NA
AMD Ryzen 7 PRO 4700G,"20,848",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+4700G&id=3813,with Radeon Graphics,AM4,3.6 GHz,Turbo Speed: 4.4 GHz,Q2 2020,NA
AMD Ryzen 7 4700GE,"20,671",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+4700GE&id=3847,with Radeon Graphics,AM4,3.1 GHz,Turbo Speed: 4.3 GHz,Q2 2020,NA
Intel Core i9-9820X @ 3.30GHz,"20,507",$536.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9820X+%40+3.30GHz&id=3369,Desktop,3.3 GHz,4.2 GHz,Cores: 10 Threads: 20 ,Q4 2018,38.26
AMD Ryzen 7 PRO 4750GE,"20,456",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+4750GE&id=3842,with Radeon Graphics,AM4,3.1 GHz,Turbo Speed: 4.3 GHz,Q2 2020,NA
Intel Core i7-10700K @ 3.80GHz,"19,671",$377.77,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700K+%40+3.80GHz&id=3733,Intel UHD Graphics 630,FCLGA1200,3.8 GHz,Turbo Speed: 5.1 GHz,Q2 2020,52.07
Intel Core i7-10700KF @ 3.80GHz,"19,596",$409.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700KF+%40+3.80GHz&id=3757,Desktop,3.8 GHz,5.1 GHz,Cores: 8 Threads: 16 ,Q2 2020,47.80
Intel Core i9-9900KS @ 4.00GHz,"19,484","$1,965.00",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900KS+%40+4.00GHz&id=3593,Intel UHD Graphics 630,FCLGA1151-2,4.0 GHz,Turbo Speed: 5.0 GHz,Q4 2019,9.92
AMD Ryzen 5 3600XT,"19,016",$239.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3600XT&id=3781,Desktop,3.8 GHz,4.5 GHz,Cores: 6 Threads: 12 ,Q2 2020,79.24
Intel Core i9-9900KF @ 3.60GHz,"18,885",$379.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900KF+%40+3.60GHz&id=3435,Desktop,3.6 GHz,5.0 GHz,Cores: 8 Threads: 16 ,Q2 2019,49.70
Intel Core i9-9900K @ 3.60GHz,"18,867",$409.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900K+%40+3.60GHz&id=3334,Intel UHD Graphics 630,FCLGA1151-2,3.6 GHz,Turbo Speed: 5.0 GHz,Q4 2018,46.02
AMD Ryzen 5 3600X,"18,316",$234.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3600X&id=3494,Desktop,3.8 GHz,4.4 GHz,Cores: 6 Threads: 12 ,Q2 2019,77.94
Intel Core i7-9800X @ 3.80GHz,"18,252",$396.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9800X+%40+3.80GHz&id=3374,Desktop,3.8 GHz,4.5 GHz,Cores: 8 Threads: 16 ,Q4 2018,46.09
AMD Ryzen 5 PRO 3600,"17,892",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+PRO+3600&id=3495,Desktop,3.6 GHz,6 Threads,Typical TDP: 65  W,Q2 2019,NA
AMD Ryzen 5 3600,"17,857",$199.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3600&id=3481,Desktop,3.6 GHz,4.2 GHz,Cores: 6 Threads: 12 ,Q2 2019,89.29
AMD Ryzen 7 2700X,"17,581",$214.39,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+2700X&id=3238,Desktop,3.7 GHz,4.3 GHz,Cores: 8 Threads: 16 ,Q2 2018,82.01
Intel Core i7-10700 @ 2.90GHz,"17,497",$319.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700+%40+2.90GHz&id=3747,Intel UHD Graphics 630,FCLGA1200,2.9 GHz,Turbo Speed: 4.8 GHz,Q2 2020,54.68
Intel Core i7-10700F @ 2.90GHz,"17,426",$429.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700F+%40+2.90GHz&id=3806,Desktop,2.9 GHz,4.8 GHz,Cores: 8 Threads: 16 ,Q2 2020,40.53
AMD Ryzen 5 4600G,"17,197",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+4600G&id=3807,with Radeon Graphics,AM4,3.7 GHz,Turbo Speed: 4.2 GHz,Q2 2020,NA
Intel Core i9-9900 @ 3.10GHz,"17,195",$414.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900+%40+3.10GHz&id=3487,Intel UHD Graphics 630,FCLGA1151-2,3.1 GHz,Turbo Speed: 5.0 GHz,Q2 2019,41.44
Intel Core i9-10900T @ 1.90GHz,"16,991",$439.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900T+%40+1.90GHz&id=3751,Intel UHD Graphics 630,FCLGA1200,1.9 GHz,Turbo Speed: 4.6 GHz,Q2 2020,38.70
AMD Ryzen 7 PRO 2700X,"16,846",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+2700X&id=3292,Desktop,3.7 GHz,4.3 GHz,Cores: 8 Threads: 16 ,Q2 2018,NA
AMD Ryzen 5 PRO 4650GE,"16,769",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+PRO+4650GE&id=3843,with Radeon Graphics,AM4,3.3 GHz,Turbo Speed: 4.2 GHz,Q2 2020,NA
AMD Ryzen 5 PRO 4650G,"16,748",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+PRO+4650G&id=3795,with Radeon Graphics,AM4,3.7 GHz,Turbo Speed: 4.2 GHz,Q2 2020,NA
AMD Ryzen 5 4600GE,"16,377",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+4600GE&id=3835,with Radeon Graphics,AM4,3.3 GHz,Turbo Speed: 4.2 GHz,Q2 2020,NA
AMD Ryzen 5 PRO 4400G,"16,212",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+PRO+4400G&id=3828,with Radeon Graphics,3.7 GHz,4.3 GHz,Cores: 6 Threads: 12 ,Q2 2020,NA
AMD Ryzen 7 2700,"15,721",$362.84,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+2700&id=3240,Desktop,3.2 GHz,4.1 GHz,Cores: 8 Threads: 16 ,Q2 2018,43.33
AMD Ryzen 7 PRO 2700,"15,223",NA,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+2700&id=3307,Desktop,3.2 GHz,4.1 GHz,Cores: 8 Threads: 16 ,Q2 2018,NA
Intel Core i5-10600KF @ 4.10GHz,"14,867",$244.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10600KF+%40+4.10GHz&id=3810,Desktop,4.1 GHz,4.8 GHz,Cores: 6 Threads: 12 ,Q2 2020,60.68
