name,G3D_Mark_by_price,G3D_Mark,price,t_class,bus_interface,max_memory_size,core,memory,directx,max_tdp,G3DMark_by_price,tested_date,price_changed
GeForce GTX 1650 SUPER,61.5,9834,159.99,Desktop,PCIe 3.0 x16,4096,1530 MHz,12000 MHz,DirectX: 12,100 W,61.47,2019-11-27,$159.99 USD (2020-10-24)
Radeon RX 590,59.2,9474,159.99,Desktop,PCIe 3.0 x16,8192,1545 MHz,2000 MHz,DirectX: 12.0,175 W,59.22,2018-11-27,$159.99 USD (2020-07-31)
Radeon RX 580,58.3,8750,149.99,Desktop,PCIe 3.0 x16,8192,1257 MHz,2000 MHz,DirectX: 12.0,185 W,58.34,2017-04-23,$149.99 USD (2020-10-03)
GeForce GTX 1650,55.7,7798,139.99,Desktop,PCIe 3.0 x16,4096,1485 MHz,800 MHz,DirectX: 12,75 W,55.71,2019-04-27,$139.99 USD (2020-09-21)
GeForce GTX 1660,55.0,11540,209.99,Desktop,PCIe 3.0 x16,6144,1530 MHz,8000 MHz,DirectX: 12,120 W,54.96,2019-03-18,$209.99 USD (2020-10-20)
GeForce GTX 1660 SUPER,52.9,12689,239.99,Desktop,PCIe 3.0 x16,6144,1530 MHz,14000 MHz,DirectX: 12,125 W,52.87,2019-11-02,$239.99 USD (2020-10-23)
Radeon RX 5600 XT,49.9,13465,269.99,Desktop,PCIe 4.0 x16,6144,1130 MHz,12000 MHz,DirectX: 12,150 W,49.88,2020-01-24,$269.99 USD (2020-10-20)
Radeon RX 5500 XT,49.7,8945,179.99,Desktop,PCIe 4.0 x8,8192,1607 MHz,14000 MHz,DirectX: 12,130 W,49.70,2019-12-12,$179.99 USD (2020-09-25)
GeForce RTX 2060,46.9,14072,299.99,Desktop,PCIe 3.0 x16,6144,1365 MHz,14000 (1750x8) MHz,DirectX: 12,160 W,46.91,2019-01-15,$299.99 USD (2020-10-25)
Radeon,46.9,1969,41.99,"AMD Radeon(TM) Graphics, Radeon Graphics",NA,NA,NA,NA,NA,NA,425,46.89,$41.99 USD (2020-10-14)
Radeon RX 5700,46.7,14475,309.99,Desktop,PCIe 4.0 x16,8192,1465 MHz,14000 MHz,DirectX: 12,NA,46.70,2019-07-01,$309.99 USD (2020-08-01)
Radeon RX 570,46.5,6967,149.99,Desktop,PCIe 3.0 x16,8192,1168 MHz,1750 MHz,DirectX: 12.0,150 W,46.45,2017-04-25,$149.99 USD (2020-10-25)
Radeon RX 5700 XT,46.4,16687,359.99,Desktop,PCIe 4.0 x16,8192,1605 MHz,14000 MHz,DirectX: 12,NA,46.36,2019-07-08,$359.99 USD (2020-10-12)
GeForce GTX 1660 Ti,45.8,12349,269.49,Desktop,PCIe 3.0 x16,6144,1500 MHz,12000 MHz,DirectX: 12.0,120 W,45.82,2019-02-06,$269.49 USD (2020-10-23)
GeForce GTX 1050 Ti,45.6,6389,139.99,Desktop,PCI-E 3.0 x16,4096,1290 MHz,1752 MHz,DirectX: 12.0,75 W,45.64,2016-10-27,$139.99 USD (2020-10-22)
GeForce RTX 2060 SUPER,39.4,16353,414.98,Desktop,PCIe 3.0 x16,8192,1407 MHz,14000 (1750x8) MHz,DirectX: 12,175 W,39.41,2019-07-12,$414.98 USD (2020-10-20)
GeForce GTX 1080,39.0,14821,379.99,Desktop,PCIe 3.0 x16,8192,1607 MHz,2500 MHz,DirectX: 12,180 W,39.01,2016-05-14,$379.99 USD (2020-09-23)
GeForce RTX 2070,38.6,16196,419.99,Desktop,PCIe 3.0 x16,8192,1410 MHz,14000 (1750x8) MHz,DirectX: 12,175 W,38.56,2018-10-18,$419.99 USD (2020-10-15)
Radeon RX 550,37.2,2415,64.99,Desktop,PCIe 3.0 x8,4096,1100 MHz,1750 MHz,DirectX: 12.0,50 W,37.17,2017-06-17,$64.99 USD (2020-10-22)
GeForce RTX 2070 SUPER,34.5,18128,524.99,Desktop,PCIe 3.0 x16,8192,1605 MHz,14000 (1750x8) MHz,DirectX: 12,215 W,34.53,2019-07-11,$524.99 USD (2020-10-25)
GeForce GTX 1050,34.0,5427,159.45,Desktop,PCI-E 3.0 x16,2048,1354 MHz,1752 MHz,DirectX: 12,75 W,34.04,2016-10-27,$159.45 USD (2020-10-17)
GeForce GT 1030,32.8,2620,79.99,Desktop,PCIe 3.0 x4,2048,1227 MHz,1250 MHz,DirectX: 12.0,30 W,32.76,2017-05-25,$79.99 USD (2020-10-22)
GeForce GTX 1070,29.6,13319,449.99,Desktop,PCIe 3.0 x16,8192,1506 MHz,2002 MHz,DirectX: 12.0,150 W,29.60,2016-06-11,$449.99 USD (2020-10-21)
Radeon RX 560,28.0,3642,129.99,Desktop,PCIe 3.0 x8,4096,1175 MHz,1750 MHz,DirectX: 12.0,80 W,28.02,2017-03-20,$129.99 USD (2020-08-24)
Quadro 6000,27.9,2787,99.99,Workstation,PCIe 2.0 x16,6144,574 MHz,3000 MHz,DirectX: 11,204 W,27.88,2010-10-19,$99.99 USD (2020-10-25)
GeForce RTX 2080 SUPER,26.9,19336,719.99,Desktop,PCIe 3.0 x16,8192,1650 MHz,15500 MHz,DirectX: 12,250 W,26.86,2019-07-26,$719.99 USD (2020-10-25)
Radeon RX Vega 56,25.6,13335,519.99,Desktop,PCIe 3.0 x16,8192,1471 MHz,1600 MHz,DirectX: 12,210 W,25.64,2017-09-23,$519.99 USD (2020-10-23)
Quadro P2200,24.1,9118,378.66,NVIDIA Quadro P2200,NA,NA,NA,NA,NA,NA,93,24.08,$378.66 USD (2020-10-25)
Radeon Pro W5500,22.9,9377,408.99,Desktop,PCIe 4.0 x8,8192,1187 MHz,14000 MHz,DirectX: 12,125 W,22.93,2020-02-13,$408.99 USD (2020-08-12)
Quadro P620,22.0,3679,167.25,Workstation,PCI Express 3.0 x16,2048,1266 MHz,1003 MHz,DirectX: 12.0,40 W,22.00,2018-06-30,$167.25 USD (2020-10-25)
GeForce RTX 2080 Ti,21.6,21550,999.99,Desktop,PCIe 3.0 x16,11264,1350 MHz,14000 (1750x8) MHz,DirectX: 12,250 W,21.55,2018-09-21,$999.99 USD (2020-10-23)
Radeon Pro W5700,18.8,15031,799.99,Desktop,PCIe 4.0 x16,8192,1243 MHz,14000 MHz,DirectX: 12,205 W,18.79,2020-01-17,$799.99 USD (2020-01-18)
GeForce GT 710,17.7,638,35.99,Desktop,PCIe 2.0 x8,2048,823 MHz,900 MHz,DirectX: 12.0,25 W,17.73,2014-07-20,$35.99 USD (2020-10-06)
Radeon Pro WX 7100,16.8,7758,460.99,Workstation,PCIe 3.0 x16,8192,1188 MHz,12,OpenGL: 4.5,NA,16.83,2016-11-29,$460.99 USD (2020-07-11)
Radeon Pro WX 5100,15.9,5328,334.99,Workstation,PCIe 3.0 x16,8096,926-1090 MHz,1650 MHz,DirectX: 12,75 W,15.91,2016-12-13,$334.99 USD (2020-06-11)
Quadro P4000,14.8,11678,789.99,Workstation,PCIe 3.0 x16,8192,1227 MHz,1502 MHz,DirectX: 12.1,105 W,14.78,2017-03-31,$789.99 USD (2020-09-05)
Radeon Pro WX 3200,14.6,2559,174.99,Mobile,PCIe 3.0 x8,4096,1295 MHz,4000 MHz,DirectX: 12,65 W,14.63,2019-11-25,$174.99 USD (2020-10-17)
Radeon Pro WX 8200,14.6,14137,969.99,Desktop,PCIe 3.0 x16,8192,1200 MHz,2000 MHz,DirectX: 12,230 W,14.57,2018-08-30,$969.99 USD (2020-01-30)
Radeon Pro WX 4100,14.5,3620,249.99,Desktop,PCIe 3.0 x8,4096,1125 MHz,6000 MHz,DirectX: 12,50 W,14.48,2017-03-04,$249.99 USD (2020-05-22)
Quadro P400,14.1,1662,117.99,Workstation,PCIe 3.0 x16,2048,1070 MHz,1752 MHz,DirectX: 12.1,30 W,14.09,2017-08-29,$117.99 USD (2020-10-09)
Quadro P1000,13.2,4362,329.99,Workstation,PCI Express 3.0 x16,4096,1354 MHz,1752 MHz,DirectX: 12.0,47 W,13.22,2017-04-10,$329.99 USD (2020-09-27)
Quadro K6000,12.5,8502,677.93,Workstation,PCIe 3.0 x16,12288,901.5 MHz,"1502,(6008) MHz",DirectX: 11.2,225 W,12.54,2013-10-04,$677.93 USD (2020-10-25)
GeForce GT 730,12.1,794,65.70,Desktop,PCIe 2.0 x8 x16,2048,700-902 MHz,550-1250 MHz,DirectX: 12.0,49 W,12.10,2014-07-11,$65.7 USD (2020-10-20)
Radeon R7 430,11.0,1140,104.11,"AMD Radeon R7 430, AMD Radeon(TM) R7 430",NA,NA,NA,NA,NA,NA,623,10.96,$104.11 USD (2020-08-22)
Radeon VII,8.9,16899,"1,898.99",Desktop,PCIe 3.0 x16,16384,1400 MHz,12,OpenGL: 4.6,NA,8.90,2019-02-13,$1898.99 USD (2020-10-23)
TITAN RTX,7.8,19403,"2,499.00",Workstation,PCIe 3.0 x16,24576,1350 MHz,14000 (1750x8) MHz,DirectX: 12.1,280 W,7.76,2018-12-20,$2499 USD (2020-10-22)
Quadro P5000,6.8,11542,"1,700.64",Workstation,PCIe 3.0 x16,16384,1607 MHz,1126 MHz,DirectX: 12.1,180 W,6.79,2016-11-25,$1700.64 USD (2020-09-16)
Quadro K5200,3.6,5922,"1,659.87",Workstation,PCIe 3.0 x16,8192,650 MHz,"1500,(6000) MHz",DirectX: 11,150 W,3.57,2014-09-09,$1659.87 USD (2020-09-28)
GeForce 8400 GS,2.8,121,43.03,Desktop,"PCIe 1.0 x16,PCI",512,450 MHz,800 MHz,DirectX: 10,40 W,2.81,2012-08-19,$43.03 USD (2020-09-29)
Radeon HD 5570,2.6,448,171.99,Desktop,PCIe 2.1 x16,2048,"650,650 MHz","400,900 MHz",DirectX: 11,39 W,2.61,2012-08-19,$171.99 USD (2020-10-13)
Radeon RX 470,79.2,7919,99.99*,Desktop,PCIe 3.0 x16,8192,926 MHz,1650 MHz,DirectX: 12.0,120 W,79.20,2016-08-10,$99.99 USD (2020-08-21)
Radeon R9 380,68.4,6155,89.99*,Desktop,PCIe 3.0 x16,4096,970 MHz,1375 MHz,DirectX: 12.0,190 W,68.41,2016-03-30,$89.99 USD (2020-03-16)
GeForce GTX 950,62.0,5328,86.00*,Desktop,PCIe 3.0 x16,2048,1024 MHz,1653 MHz,DirectX: 12,90 W,61.96,2015-08-23,$86 USD (2020-03-14)
GeForce GTX 1650 SUPER,61.5,9834,159.99,Desktop,PCIe 3.0 x16,4096,1530 MHz,12000 MHz,DirectX: 12,100 W,61.47,2019-11-27,$159.99 USD (2020-10-24)
GeForce GTX 780,60.6,7881,129.99*,Desktop,PCIe 3.0 x16,6144,863 MHz,1502 MHz,DirectX: 11,250 W,60.63,2013-05-28,$129.99 USD (2020-03-15)
Radeon RX 590,59.2,9474,159.99,Desktop,PCIe 3.0 x16,8192,1545 MHz,2000 MHz,DirectX: 12.0,175 W,59.22,2018-11-27,$159.99 USD (2020-07-31)
Radeon RX 580,58.3,8750,149.99,Desktop,PCIe 3.0 x16,8192,1257 MHz,2000 MHz,DirectX: 12.0,185 W,58.34,2017-04-23,$149.99 USD (2020-10-03)
GeForce GTX 1650,55.7,7798,139.99,Desktop,PCIe 3.0 x16,4096,1485 MHz,800 MHz,DirectX: 12,75 W,55.71,2019-04-27,$139.99 USD (2020-09-21)
GeForce GTX 1660,55.0,11540,209.99,Desktop,PCIe 3.0 x16,6144,1530 MHz,8000 MHz,DirectX: 12,120 W,54.96,2019-03-18,$209.99 USD (2020-10-20)
GeForce GTX 770,53.6,5894,109.95*,Desktop,PCIe 3.0 x16,4096,1046 MHz,1752.5 MHz,DirectX: 11,230 W,53.61,2013-06-01,$109.95 USD (2020-03-14)
GeForce GTX 1660 SUPER,52.9,12689,239.99,Desktop,PCIe 3.0 x16,6144,1530 MHz,14000 MHz,DirectX: 12,125 W,52.87,2019-11-02,$239.99 USD (2020-10-23)
GeForce GTX 960,52.8,5985,113.27*,Desktop,PCIe 3.0 x16,4096,1127 MHz,1753 MHz,DirectX: 12.0,120 W,52.84,2015-01-23,$113.27 USD (2020-03-13)
Radeon RX 5600 XT,49.9,13465,269.99,Desktop,PCIe 4.0 x16,6144,1130 MHz,12000 MHz,DirectX: 12,150 W,49.88,2020-01-24,$269.99 USD (2020-10-20)
Radeon RX 5500 XT,49.7,8945,179.99,Desktop,PCIe 4.0 x8,8192,1607 MHz,14000 MHz,DirectX: 12,130 W,49.70,2019-12-12,$179.99 USD (2020-09-25)
Radeon HD 7850,49.6,3720,75.00*,Desktop,PCIe 3.0 x16,2048,860 MHz,1200 MHz,DirectX: 11.2,130 W,49.61,2012-05-03,$75 USD (2020-03-13)
GeForce GTX 980,49.5,11035,223.10*,Desktop,PCIe 3.0 x16,4096,1126 MHz,1752.5 MHz,DirectX: 12,165 W,49.47,2014-09-19,$223.1 USD (2020-03-16)
GeForce GTX 970,48.8,9637,197.44*,Desktop,PCIe 3.0 x16,4096,1050 MHz,1752.5 MHz,DirectX: 12,145 W,48.81,2014-09-19,$197.44 USD (2020-03-16)
Radeon HD 6970,48.6,2917,59.99*,Desktop,PCIe 2.1 x16,2048,880 MHz,1375 MHz,DirectX: 11,250 W,48.64,2012-08-20,$59.99 USD (2020-03-13)
GeForce RTX 2060,46.9,14072,299.99,Desktop,PCIe 3.0 x16,6144,1365 MHz,14000 (1750x8) MHz,DirectX: 12,160 W,46.91,2019-01-15,$299.99 USD (2020-10-25)
Radeon,46.9,1969,41.99,"AMD Radeon(TM) Graphics, Radeon Graphics",NA,NA,NA,NA,NA,NA,425,46.89,$41.99 USD (2020-10-14)
Radeon RX 5700,46.7,14475,309.99,Desktop,PCIe 4.0 x16,8192,1465 MHz,14000 MHz,DirectX: 12,NA,46.70,2019-07-01,$309.99 USD (2020-08-01)
Radeon RX 570,46.5,6967,149.99,Desktop,PCIe 3.0 x16,8192,1168 MHz,1750 MHz,DirectX: 12.0,150 W,46.45,2017-04-25,$149.99 USD (2020-10-25)
Radeon RX 5700 XT,46.4,16687,359.99,Desktop,PCIe 4.0 x16,8192,1605 MHz,14000 MHz,DirectX: 12,NA,46.36,2019-07-08,$359.99 USD (2020-10-12)
GeForce GTX 1660 Ti,45.8,12349,269.49,Desktop,PCIe 3.0 x16,6144,1500 MHz,12000 MHz,DirectX: 12.0,120 W,45.82,2019-02-06,$269.49 USD (2020-10-23)
GeForce GTX 1050 Ti,45.6,6389,139.99,Desktop,PCI-E 3.0 x16,4096,1290 MHz,1752 MHz,DirectX: 12.0,75 W,45.64,2016-10-27,$139.99 USD (2020-10-22)
Radeon R9 290 / 390,45.5,8150,179.32*,Desktop,PCIe 3.0 x16,4096,947 MHz,5000 MHz,DirectX: 12,275 W,45.45,2013-11-09,$179.32 USD (2020-03-10)
GeForce GTX 980 Ti,44.5,13745,309.20*,Desktop,PCIe 3.0 x16,6144,1076 MHz,1753 (7012) MHz,DirectX: 12,250 W,44.46,2015-06-02,$309.2 USD (2020-03-13)
Radeon RX 480,43.0,8522,198.25*,Desktop,PCIe 3.0 x16,8192,1266 MHz,2000 MHz,DirectX: 12.0,150 W,42.99,2016-06-28,$198.25 USD (2020-03-16)
Radeon HD 7970 / R9 280X,41.7,5247,125.99*,Desktop,PCIe 3.0 x16,3072,1000 MHz,1500 MHz,DirectX: 11.2/12.0,250 W,41.65,2012-08-17,$125.99 USD (2020-03-14)
GeForce GTX 1060 3GB,40.7,9611,235.99*,Desktop,PCIe 3.0 x16,3072,1708 MHz,2000 MHz,DirectX: 12.0,120 W,40.73,2016-08-24,$235.99 USD (2020-06-07)
GeForce GTX 780 Ti,40.6,9149,225.10*,Desktop,PCIe 3.0 x16,3072,875 MHz,1750 MHz,DirectX: 11.0,250 W,40.65,2013-11-08,$225.1 USD (2020-03-16)
GeForce RTX 2060 SUPER,39.4,16353,414.98,Desktop,PCIe 3.0 x16,8192,1407 MHz,14000 (1750x8) MHz,DirectX: 12,175 W,39.41,2019-07-12,$414.98 USD (2020-10-20)
GeForce GTX 1080,39.0,14821,379.99,Desktop,PCIe 3.0 x16,8192,1607 MHz,2500 MHz,DirectX: 12,180 W,39.01,2016-05-14,$379.99 USD (2020-09-23)
GeForce RTX 2070,38.6,16196,419.99,Desktop,PCIe 3.0 x16,8192,1410 MHz,14000 (1750x8) MHz,DirectX: 12,175 W,38.56,2018-10-18,$419.99 USD (2020-10-15)
Radeon R9 290X / 390X,38.1,8389,220.10*,Desktop,PCIe 3.0 x16,4096,1000 MHz,5000 MHz,DirectX: 12,290 W,38.12,2013-10-25,$220.1 USD (2020-03-10)
GeForce GTX 560 Ti,37.6,3065,81.60*,Desktop,PCIe 2.0 x16,2048,822 MHz,4008 MHz,DirectX: 11,170 W,37.57,2012-08-10,$81.6 USD (2020-03-16)
Radeon RX Vega 64,37.6,14649,389.99*,Desktop,PCIe 3.0 x16,8192,1247 MHz,1890 MHz,DirectX: 12,295 W,37.56,2017-09-01,$389.99 USD (2020-04-25)
Radeon RX 550,37.2,2415,64.99,Desktop,PCIe 3.0 x8,4096,1100 MHz,1750 MHz,DirectX: 12.0,50 W,37.17,2017-06-17,$64.99 USD (2020-10-22)
Radeon R7 450,36.5,1918,52.49*,Desktop,PCIe 3.0 x16,2048,1050 MHz,1125 MHz,DirectX: 12,65 W,36.55,2016-10-09,$52.49 USD (2020-03-13)
GeForce GTX 670,35.7,5321,149.00*,Desktop,PCIe 3.0 x16,4096,915 MHz,1502 MHz,DirectX: 11,170 W,35.72,2012-08-16,$149 USD (2020-03-10)
Quadro M1000M,35.0,3007,85.99*,Mobile,PCIe 3.0 x16,4096,993 MHz,1253 MHz,DirectX: 12.1,40 W,NA,NA,Mobile
GeForce RTX 2070 SUPER,34.5,18128,524.99,Desktop,PCIe 3.0 x16,8192,1605 MHz,14000 (1750x8) MHz,DirectX: 12,215 W,34.53,2019-07-11,$524.99 USD (2020-10-25)
GeForce GTX 1050,34.0,5427,159.45,Desktop,PCI-E 3.0 x16,2048,1354 MHz,1752 MHz,DirectX: 12,75 W,34.04,2016-10-27,$159.45 USD (2020-10-17)
Quadro M3000M,33.9,5423,159.95*,Mobile,PCIe 3.0 x16,4096,1253 MHz,12.1,OpenGL: 4.5,NA,NA,NA,Mobile
GeForce GT 1030,32.8,2620,79.99,Desktop,PCIe 3.0 x4,2048,1227 MHz,1250 MHz,DirectX: 12.0,30 W,32.76,2017-05-25,$79.99 USD (2020-10-22)
Radeon R9 270X,32.3,4837,149.99*,Desktop,PCIe 3.0 x16,4096,1000 MHz,5600 MHz,DirectX: 12,180 W,32.26,2013-10-17,$149.99 USD (2020-03-16)
Radeon R7 260,32.1,2891,89.99*,Desktop,PCIe 3.0 x16,1024,1000 MHz,6000 MHz,DirectX: 12,95 W,32.13,2014-07-06,$89.99 USD (2015-01-03)
Radeon HD 7870,31.7,4652,147.00*,Desktop,PCIe 3.0 x16,2048,1000 MHz,1200 MHz,DirectX: 11.2,175 W,31.65,2012-06-05,$147 USD (2020-03-10)
GeForce GTX 660,31.6,3943,124.97*,Desktop,PCIe 3.0 x16,3072,980 MHz,1502 MHz,DirectX: 11,140 W,31.56,2012-09-22,$124.97 USD (2020-03-16)
GeForce GTX 1060,31.3,10209,325.88*,Desktop,PCIe 3.0 x16,6144,1708 MHz,2002 MHz,DirectX: 12.0,120 W,31.33,2016-07-20,$325.88 USD (2020-09-22)
